Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
56,Seed Dealers,Kanpur City,Kalyanpur,Ms Sun Seeds,,87/8 Kanpur Tranari Compound Kalpi Road,For Free Alerts
57,Seed Dealers,Kanpur City,Kalyanpur,NATIONAL HORTI CULTURE AND DOUBLE FOUNDATION,,BARRA KANPUR BLOCK KALYANPUR,For Free Alerts
58,Seed Dealers,Kanpur City,Kalyanpur,NCF NAVEEN MARKERT,,KANPUR NAGAR BLOCK KALYANPUR,For Free Alerts
59,Seed Dealers,Kanpur City,Kalyanpur,NEW KATIYAR BEEJ BHANDAR,,MANDHANA KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
60,Seed Dealers,Kanpur City,Kalyanpur,NEW KRISAK BEEJ BHANDAR,,KISHAN NAGAR KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
61,Seed Dealers,Kanpur City,Kalyanpur,NEW KUSHWAHA BEEJ BHANDAR,,BITHOOR ROAD MANDHANA KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
62,Seed Dealers,Kanpur City,Kalyanpur,NEW MANJULA BEEJ BHANDAR,,RAWATPUR KANPUR BLOCK KALYANPUR,For Free Alerts
63,Seed Dealers,Kanpur City,Kalyanpur,NEW UTTAM BEEJ BHANDAR,,RAWATPUR STATION KANPUR BLOCK KALYANPUR,For Free Alerts
64,Seed Dealers,Kanpur City,Kalyanpur,OM BEEJ BHANDAR,,BARADEVI KANPUR BLOCK KALYANPUR,For Free Alerts
65,Seed Dealers,Kanpur City,Kalyanpur,OMAR AGENCY,,GARDIYAN PURWA KANPUR BLOCK KALYANPUR,For Free Alerts
66,Seed Dealers,Kanpur City,Kalyanpur,PAHUNA SEEDS,,114/63 VINAYAKPUR KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
67,Seed Dealers,Kanpur City,Kalyanpur,PAL KHAD AND BEEJ BHANDAR,,BHAUTI KANPUR BLOCK KALYANPUR,For Free Alerts
68,Seed Dealers,Kanpur City,Kalyanpur,PANDEY BEEJ BHANDAR,,GRAM TIKRA KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
69,Seed Dealers,Kanpur City,Kalyanpur,PANDEY BEEJ BHANDAR,,KISHAN NAGAR KANPUR BLOCK KALYANPUR,For Free Alerts
70,Seed Dealers,Kanpur City,Kalyanpur,PANDEY TRADERS,,KISHAN NAGAR KANPUR BLOCK KALYANPUR,For Free Alerts
71,Seed Dealers,Kanpur City,Kalyanpur,PANDIT AGRO AGENCY,,CHUNNI GANJ KANPUR BLOCK KALYANPUR,For Free Alerts
