Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
33,Seed Dealers,Lucknow,Chinhat,MS. RAJDHANI SEEDS CORPORATION,,KAISERBAGH,For Free Alerts
34,Seed Dealers,Lucknow,Chinhat,MS. RAJENDRA AND SONS,,18/281 INDIRA NAGAR,For Free Alerts
35,Seed Dealers,Lucknow,Chinhat,MS. RAMCHANDRA ASSOCIATE,,"E-18, KURMANCHAL NAGAR",For Free Alerts
36,Seed Dealers,Lucknow,Chinhat,MS. RISHI MAURYA BEEJ KENDRA,,SHOP-27 NAVEEN GALLA MANDI POLICE CHAUKI,For Free Alerts
37,Seed Dealers,Lucknow,Chinhat,MS. SANKALP AGRO TRADERS,,529D 11/2521,For Free Alerts
38,Seed Dealers,Lucknow,Chinhat,MS. SHAKTI AGRITECH,,S-622 SANSKRITI ENCLAVE ELDECO UDHYAN-11 RAIBARELI ROAD,For Free Alerts
39,Seed Dealers,Lucknow,Chinhat,MS. SHIV BEEJ BHANDAR,,TERIPULIA KURSI ROAD,For Free Alerts
40,Seed Dealers,Lucknow,Chinhat,MS. SINDHU SEED COMPANY,,8 NEW KAILASH BIHAR GINDANKHERA AMAUSI,For Free Alerts
41,Seed Dealers,Lucknow,Chinhat,MS. TATA CHEMICALS LTD.,,P-7/1 T.P.NAGAR,For Free Alerts
42,Seed Dealers,Lucknow,Chinhat,MS. UTTAM BEEJ BHANDAR,,I.I.M. TIRAHA BHITHAULI,For Free Alerts
43,Seed Dealers,Lucknow,Chinhat,MS.SHIV BEEJ BHANDAR,,ALI NABAB MARKET DUBAGGA,For Free Alerts
44,Seed Dealers,Lucknow,Chinhat,MS.SriRAM FERTILIZER AND CHEMICAL LTD.,,S-62 GOAL MARKET MAHANAGAR,For Free Alerts
45,Seed Dealers,Lucknow,Chinhat,Ms Divya Jyoti Agro Seeds Pvt Ltd,,C 2243 10 Near C Block Hanuman Mandir Indiranagar,For Free Alerts
46,Seed Dealers,Lucknow,Chinhat,Ms Golden Agri Jenetics India Ltd,,Ground Floor Jaiswal Building Faizabad Road Daliganj,For Free Alerts
47,Seed Dealers,Lucknow,Chinhat,Ms Kaimuna Agro Ltd,,B 3 Aarohi Complex Sec H Aliganj,For Free Alerts
48,Seed Dealers,Lucknow,Chinhat,Ms Uttarakand Seed And Tarai Development Corporation Ltd,,D 1289 MIG Sec 1 Indiranagar,For Free Alerts
49,Seed Dealers,Lucknow,Chinhat,Ms Jeewa Agri Jenetics,,C 2243 9 Indiranagar,For Free Alerts
